state,county,persons,hud_med_inc,hud_inc_lim80
2,290,8,50600,85750
1,1,1,62900,35250
1,1,2,62900,40250
1,1,3,62900,45300
1,1,4,62900,50300
1,1,5,62900,54350
1,1,6,62900,58350
1,1,7,62900,62400
1,1,8,62900,66400
1,3,1,69400,38400
1,3,2,69400,43850
1,3,3,69400,49350
1,3,4,69400,54800
1,3,5,69400,59200
1,3,6,69400,63600
1,3,7,69400,68000
1,3,8,69400,72350
1,5,1,44500,27200
1,5,2,44500,31050
1,5,3,44500,34950
1,5,4,44500,38800
1,5,5,44500,41950
1,5,6,44500,45050
1,5,7,44500,48150
1,5,8,44500,51250
1,7,1,71000,39400
1,7,2,71000,45000
1,7,3,71000,50650
1,7,4,71000,56250
1,7,5,71000,60750
1,7,6,71000,65250
1,7,7,71000,69750
1,7,8,71000,74250
1,9,1,71000,39400
1,9,2,71000,45000
1,9,3,71000,50650
1,9,4,71000,56250
1,9,5,71000,60750
1,9,6,71000,65250
1,9,7,71000,69750
1,9,8,71000,74250
1,11,1,44300,27200
1,11,2,44300,31050
1,11,3,44300,34950
1,11,4,44300,38800
1,11,5,44300,41950
1,11,6,44300,45050
1,11,7,44300,48150
1,11,8,44300,51250
1,13,1,42300,27200
1,13,2,42300,31050
1,13,3,42300,34950
1,13,4,42300,38800
1,13,5,42300,41950
1,13,6,42300,45050
1,13,7,42300,48150
1,13,8,42300,51250
1,15,1,56800,31300
1,15,2,56800,35800
1,15,3,56800,40250
1,15,4,56800,44700
1,15,5,56800,48300
1,15,6,56800,51900
1,15,7,56800,55450
1,15,8,56800,59050
1,17,1,48200,27200
1,17,2,48200,31050
1,17,3,48200,34950
1,17,4,48200,38800
1,17,5,48200,41950
1,17,6,48200,45050
1,17,7,48200,48150
1,17,8,48200,51250
1,19,1,47900,27200
1,19,2,47900,31050
1,19,3,47900,34950
1,19,4,47900,38800
1,19,5,47900,41950
1,19,6,47900,45050
1,19,7,47900,48150
1,19,8,47900,51250
1,21,1,54600,30600
1,21,2,54600,35000
1,21,3,54600,39350
1,21,4,54600,43700
1,21,5,54600,47200
1,21,6,54600,50700
1,21,7,54600,54200
1,21,8,54600,57700
1,23,1,49700,27850
1,23,2,49700,31800
1,23,3,49700,35800
1,23,4,49700,39750
1,23,5,49700,42950
1,23,6,49700,46150
1,23,7,49700,49300
1,23,8,49700,52500
1,25,1,49700,27850
1,25,2,49700,31800
1,25,3,49700,35800
1,25,4,49700,39750
1,25,5,49700,42950
1,25,6,49700,46150
1,25,7,49700,49300
1,25,8,49700,52500
1,27,1,45500,27200
1,27,2,45500,31050
1,27,3,45500,34950
1,27,4,45500,38800
1,27,5,45500,41950
1,27,6,45500,45050
1,27,7,45500,48150
1,27,8,45500,51250
1,29,1,51400,28800
